Lemma,PrincipalParts,Form,Voice,Mood,Tense,Number,Person,Footnote
fero,ferre_tuli_latus,ferrēris,passive,subjunctive,imperfect,singular,2nd,
fero,ferre_tuli_latus,ferrēre,passive,subjunctive,imperfect,singular,2nd,
fero,ferre_tuli_latus,ferrētur,passive,subjunctive,imperfect,singular,3rd,
fero,ferre_tuli_latus,ferrēmur,passive,subjunctive,imperfect,plural,1st,
fero,ferre_tuli_latus,ferrēminī,passive,subjunctive,imperfect,plural,2nd,
fero,ferre_tuli_latus,ferrentur,passive,subjunctive,imperfect,plural,3rd,
fero,ferre_tuli_latus,feram,active,indicative,future,singular,1st,
fero,ferre_tuli_latus,ferēs,active,indicative,future,singular,2nd,
fero,ferre_tuli_latus,feret,active,indicative,future,singular,3rd,
fero,ferre_tuli_latus,ferēmus,active,indicative,future,plural,1st,
fero,ferre_tuli_latus,ferētis,active,indicative,future,plural,2nd,
fero,ferre_tuli_latus,ferent,active,indicative,future,plural,3rd,
fero,ferre_tuli_latus,ferar,passive,indicative,future,singular,1st,
fero,ferre_tuli_latus,ferēris,passive,indicative,future,singular,2nd,
fero,ferre_tuli_latus,ferēre,passive,indicative,future,singular,2nd,
fero,ferre_tuli_latus,ferētur,passive,indicative,future,singular,3rd,
fero,ferre_tuli_latus,ferēmur,passive,indicative,future,plural,1st,
fero,ferre_tuli_latus,ferēminī,passive,indicative,future,plural,2nd,
fero,ferre_tuli_latus,ferentur,passive,indicative,future,plural,3rd,
fero,ferre_tuli_latus,fertō,active,imperative,future,singular,2nd,
fero,ferre_tuli_latus,fertōte,active,imperative,future,singular,3rd,
fero,ferre_tuli_latus,fertō,active,imperative,future,plural,2nd,
fero,ferre_tuli_latus,feruntō,active,imperative,future,plural,3rd,
fero,ferre_tuli_latus,fertor,passive,imperative,future,singular,2nd,
fero,ferre_tuli_latus,fertor,passive,imperative,future,plural,2nd,
fero,ferre_tuli_latus,feruntor,passive,imperative,future,plural,3rd,
fero,ferre_tuli_latus,latūrus esse,active,infinitive,future,,,
fero,ferre_tuli_latus,latūm īrī,passive,infinitive,future,,,
fero,ferre_tuli_latus,tulī,active,indicative,perfect,singular,1st,
fero,ferre_tuli_latus,tulistī,active,indicative,perfect,singular,2nd,
fero,ferre_tuli_latus,tulit,active,indicative,perfect,singular,3rd,
fero,ferre_tuli_latus,tulimus,active,indicative,perfect,plural,1st,
fero,ferre_tuli_latus,tulistis,active,indicative,perfect,plural,2nd,
fero,ferre_tuli_latus,tulērunt,active,indicative,perfect,plural,3rd,
fero,ferre_tuli_latus,tulerim,active,subjunctive,perfect,singular,1st,
fero,ferre_tuli_latus,tulerīs,active,subjunctive,perfect,singular,2nd,
fero,ferre_tuli_latus,tulerit,active,subjunctive,perfect,singular,3rd,
fero,ferre_tuli_latus,tulerimus,active,subjunctive,perfect,plural,1st,
fero,ferre_tuli_latus,tuleritis,active,subjunctive,perfect,plural,2nd,
fero,ferre_tuli_latus,tulerint,active,subjunctive,perfect,plural,3rd,
fero,ferre_tuli_latus,"lātus (-a, -um) sum",passive,indicative,perfect,singular,1st,
fero,ferre_tuli_latus,"lātus (-a, -um) es",passive,indicative,perfect,singular,2nd,
fero,ferre_tuli_latus,"lātus (-a, -um) est",passive,indicative,perfect,singular,3rd,
fero,ferre_tuli_latus,"latī (-ae, -a) sumus",passive,indicative,perfect,plural,1st,
fero,ferre_tuli_latus,"latī (-ae, -a) estis",passive,indicative,perfect,plural,2nd,
fero,ferre_tuli_latus,"latī (-ae, -a) sunt",passive,indicative,perfect,plural,3rd,
fero,ferre_tuli_latus,"lātus (-a, -um) sim",passive,subjunctive,perfect,singular,1st,
fero,ferre_tuli_latus,"lātus (-a, -um) sīs",passive,subjunctive,perfect,singular,2nd,
fero,ferre_tuli_latus,"lātus (-a, -um)sit",passive,subjunctive,perfect,singular,3rd,
fero,ferre_tuli_latus,"latī (-ae, -a) sīmus",passive,subjunctive,perfect,plural,1st,
fero,ferre_tuli_latus,"latī (-ae, -a) sītis",passive,subjunctive,perfect,plural,2nd,
fero,ferre_tuli_latus,"latī (-ae, -a)sint",passive,subjunctive,perfect,plural,3rd,
fero,ferre_tuli_latus,tulisse,active,infinitive,perfect,,,
fero,ferre_tuli_latus,lātus esse,passive,infinitive,perfect,,,
fero,ferre_tuli_latus,tuleram,active,indicative,pluperfect,singular,1st,
fero,ferre_tuli_latus,tulerās,active,indicative,pluperfect,singular,2nd,
fero,ferre_tuli_latus,tulerat,active,indicative,pluperfect,singular,3rd,
fero,ferre_tuli_latus,tulerāmus,active,indicative,pluperfect,plural,1st,
fero,ferre_tuli_latus,tulerātis,active,indicative,pluperfect,plural,2nd,
fero,ferre_tuli_latus,tulerant,active,indicative,pluperfect,plural,3rd,
fero,ferre_tuli_latus,tulissem,active,subjunctive,pluperfect,singular,1st,
fero,ferre_tuli_latus,tulissēs,active,subjunctive,pluperfect,singular,2nd,
fero,ferre_tuli_latus,tulisset,active,subjunctive,pluperfect,singular,3rd,
fero,ferre_tuli_latus,tulissēmus,active,subjunctive,pluperfect,plural,1st,
fero,ferre_tuli_latus,tulissētis,active,subjunctive,pluperfect,plural,2nd,
fero,ferre_tuli_latus,tulissent,active,subjunctive,pluperfect,plural,3rd,
fero,ferre_tuli_latus,"lātus (-a, -um) eram",passive,indicative,pluperfect,singular,1st,
fero,ferre_tuli_latus,"lātus (-a, -um) erās",passive,indicative,pluperfect,singular,2nd,
fero,ferre_tuli_latus,"lātus (-a, -um) erat",passive,indicative,pluperfect,singular,3rd,
fero,ferre_tuli_latus,"latī (-ae, a) erāmus",passive,indicative,pluperfect,plural,1st,
fero,ferre_tuli_latus,"latī (-ae, a) erātis",passive,indicative,pluperfect,plural,2nd,
fero,ferre_tuli_latus,"latī (-ae, a) erant",passive,indicative,pluperfect,plural,3rd,
fero,ferre_tuli_latus,"lātus (-a, -um) essem",passive,subjunctive,pluperfect,singular,1st,
fero,ferre_tuli_latus,"lātus (-a, -um) essēs",passive,subjunctive,pluperfect,singular,2nd,
fero,ferre_tuli_latus,"lātus (-a, -um) esset",passive,subjunctive,pluperfect,singular,3rd,
fero,ferre_tuli_latus,"latī (-ae, -a) essēmus",passive,subjunctive,pluperfect,plural,1st,
fero,ferre_tuli_latus,"latī (-ae, -a) essētis",passive,subjunctive,pluperfect,plural,2nd,
fero,ferre_tuli_latus,"latī (-ae, -a) essent",passive,subjunctive,pluperfect,plural,3rd,
fero,ferre_tuli_latus,tulerō,active,indicative,future_perfect,singular,1st,
fero,ferre_tuli_latus,tuleris,active,indicative,future_perfect,singular,2nd,
fero,ferre_tuli_latus,tulerit,active,indicative,future_perfect,singular,3rd,
fero,ferre_tuli_latus,tulerimus,active,indicative,future_perfect,plural,1st,
fero,ferre_tuli_latus,tuleritis,active,indicative,future_perfect,plural,2nd,
fero,ferre_tuli_latus,tulerint,active,indicative,future_perfect,plural,3rd,
fero,ferre_tuli_latus,"lātus (-a, -um) erō",passive,indicative,future_perfect,singular,1st,
fero,ferre_tuli_latus,"lātus (-a, -um) eris",passive,indicative,future_perfect,singular,2nd,
fero,ferre_tuli_latus,"lātus (-a, -um) erit",passive,indicative,future_perfect,singular,3rd,
fero,ferre_tuli_latus,"latī (-ae, -a) erimus",passive,indicative,future_perfect,plural,1st,
fero,ferre_tuli_latus,"latī (-ae, -a) ēritis",passive,indicative,future_perfect,plural,2nd,
fero,ferre_tuli_latus,"latī (-ae, -a) ērunt",passive,indicative,future_perfect,plural,3rd,
volo,velle_volui_-,volō,,indicative,present,singular,1st,
volo,velle_volui_-,vīs,,indicative,present,singular,2nd,
volo,velle_volui_-,vult,,indicative,present,singular,3rd,
volo,velle_volui_-,volt,,indicative,present,singular,3rd,7
volo,velle_volui_-,volumus,,indicative,present,plural,1st,
volo,velle_volui_-,vultis,,indicative,present,plural,2nd,
volo,velle_volui_-,volunt,,indicative,present,plural,3rd,
volo,velle_volui_-,velim,,subjunctive,present,singular,1st,
volo,velle_volui_-,velīs,,subjunctive,present,singular,2nd,
volo,velle_volui_-,velit,,subjunctive,present,singular,3rd,
volo,velle_volui_-,velīmus,,subjunctive,present,plural,1st,
volo,velle_volui_-,velītis,,subjunctive,present,plural,2nd,
volo,velle_volui_-,velint,,subjunctive,present,plural,3rd,
volo,velle_volui_-,velle,,infinitive,present,,,
volo,velle_volui_-,volēbam,,indicative,imperfect,singular,1st,
volo,velle_volui_-,volēbās,,indicative,imperfect,singular,2nd,
volo,velle_volui_-,volēbat,,indicative,imperfect,singular,3rd,
volo,velle_volui_-,volēbāmus,,indicative,imperfect,plural,1st,
volo,velle_volui_-,volēbātis,,indicative,imperfect,plural,2nd,
volo,velle_volui_-,volēbant,,indicative,imperfect,plural,3rd,
volo,velle_volui_-,vellem,,subjunctive,imperfect,singular,1st,
volo,velle_volui_-,vellēs,,subjunctive,imperfect,singular,2nd,
volo,velle_volui_-,vellet,,subjunctive,imperfect,singular,3rd,
volo,velle_volui_-,vellēmus,,subjunctive,imperfect,plural,1st,
volo,velle_volui_-,vellētis,,subjunctive,imperfect,plural,2nd,
volo,velle_volui_-,vellent,,subjunctive,imperfect,plural,3rd,
volo,velle_volui_-,volam,,indicative,future,singular,1st,
volo,velle_volui_-,volēs,,indicative,future,singular,2nd,
volo,velle_volui_-,volet,,indicative,future,singular,3rd,
volo,velle_volui_-,volēmus,,indicative,future,plural,1st,
volo,velle_volui_-,volētis,,indicative,future,plural,2nd,
volo,velle_volui_-,volent,,indicative,future,plural,3rd,
volo,velle_volui_-,voluī,,indicative,perfect,singular,1st,
volo,velle_volui_-,voluistī,,indicative,perfect,singular,2nd,
volo,velle_volui_-,voluit,,indicative,perfect,singular,3rd,
volo,velle_volui_-,voluimus,,indicative,perfect,plural,1st,
volo,velle_volui_-,voluistis,,indicative,perfect,plural,2nd,
volo,velle_volui_-,voluērunt,,indicative,perfect,plural,3rd,
volo,velle_volui_-,voluerim,,subjunctive,perfect,singular,1st,
volo,velle_volui_-,voluerīs,,subjunctive,perfect,singular,2nd,
volo,velle_volui_-,voluerit,,subjunctive,perfect,singular,3rd,
volo,velle_volui_-,voluerīmus,,subjunctive,perfect,plural,1st,
volo,velle_volui_-,voluerītis,,subjunctive,perfect,plural,2nd,
volo,velle_volui_-,voluerint,,subjunctive,perfect,plural,3rd,
volo,velle_volui_-,voluisse,,infinitive,perfect,,,
volo,velle_volui_-,volueram,,indicative,pluperfect,singular,1st,
volo,velle_volui_-,voluerās,,indicative,pluperfect,singular,2nd,
volo,velle_volui_-,voluerat,,indicative,pluperfect,singular,3rd,
volo,velle_volui_-,voluerāmus,,indicative,pluperfect,plural,1st,
volo,velle_volui_-,voluerātis,,indicative,pluperfect,plural,2nd,
volo,velle_volui_-,voluerant,,indicative,pluperfect,plural,3rd,
volo,velle_volui_-,voluissem,,subjunctive,pluperfect,singular,1st,
volo,velle_volui_-,voluissēs,,subjunctive,pluperfect,singular,2nd,
volo,velle_volui_-,voluisset,,subjunctive,pluperfect,singular,3rd,
volo,velle_volui_-,voluissēmus,,subjunctive,pluperfect,plural,1st,
volo,velle_volui_-,voluissētis,,subjunctive,pluperfect,plural,2nd,
volo,velle_volui_-,voluissent,,subjunctive,pluperfect,plural,3rd,
volo,velle_volui_-,voluerō,,indicative,future_perfect,singular,1st,
volo,velle_volui_-,volueris,,indicative,future_perfect,singular,2nd,
volo,velle_volui_-,voluerit,,indicative,future_perfect,singular,3rd,
volo,velle_volui_-,voluerimus,,indicative,future_perfect,plural,1st,
volo,velle_volui_-,volueritis,,indicative,future_perfect,plural,2nd,
volo,velle_volui_-,voluerint,,indicative,future_perfect,plural,3rd,
eo,ire_ivi(ii)_itus,eō,,indicative,present,singular,1st,
eo,ire_ivi(ii)_itus,īs,,indicative,present,singular,2nd,
eo,ire_ivi(ii)_itus,it,,indicative,present,singular,3rd,
eo,ire_ivi(ii)_itus,īmus,,indicative,present,plural,1st,
eo,ire_ivi(ii)_itus,ītis,,indicative,present,plural,2nd,
eo,ire_ivi(ii)_itus,eunt,,indicative,present,plural,3rd,
eo,ire_ivi(ii)_itus,eam,,subjunctive,present,singular,1st,
eo,ire_ivi(ii)_itus,eās,,subjunctive,present,singular,2nd,
eo,ire_ivi(ii)_itus,eat,,subjunctive,present,singular,3rd,
eo,ire_ivi(ii)_itus,eāmus,,subjunctive,present,plural,1st,
eo,ire_ivi(ii)_itus,eātis,,subjunctive,present,plural,2nd,
eo,ire_ivi(ii)_itus,eant,,subjunctive,present,plural,3rd,
eo,ire_ivi(ii)_itus,ī,,imperative,present,singular,2nd,
eo,ire_ivi(ii)_itus,īte,,imperative,present,plural,2nd,
eo,ire_ivi(ii)_itus,īre,,infinitive,present,,,
eo,ire_ivi(ii)_itus,ībam,,indicative,imperfect,singular,1st,
eo,ire_ivi(ii)_itus,ības,,indicative,imperfect,singular,2nd,
eo,ire_ivi(ii)_itus,ībat,,indicative,imperfect,singular,3rd,
eo,ire_ivi(ii)_itus,ībāmus,,indicative,imperfect,plural,1st,
eo,ire_ivi(ii)_itus,ībātis,,indicative,imperfect,plural,2nd,
eo,ire_ivi(ii)_itus,ībant,,indicative,imperfect,plural,3rd,
eo,ire_ivi(ii)_itus,īrem,,subjunctive,imperfect,singular,1st,
